incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes,victim_age_group,suspect_age_group
INC000812,drug offense,north,riverside,CA,5556 River Rd,47.561353,-85.069404,2020-11-26 07:15:00,OFF0133,emily,Nguyen,8079.0,SUS00606,Chris,Garcia,21.0,male,asian,VIC00071,Daniel,Jackson,82.0,female,628-122-3246,blunt object,high,open,no arrest,0.0,41473.0,yes,unknown,65+,18-24
INC003999,armed robbery,southeast,centerville,PA,6637 Lincoln St,25.262347,-73.445871,2021-11-05 17:21:00,OFF0097,Ashley,Davis,6651.0,SUS00776,Joseph,Brown,18.0,male,black,VIC00676,Linda,Nguyen,52.22803904170364,female,897-102-9006,knife,unknown,pending,unknown,3.0,22774.688522222223,yes,Incident at 6637 Lincoln St. Officer responded at scene.,50-64,18-24
INC003972,arsen,southwest,centerville,IL,3221 Cedar Lane,25.80811,-106.368949,2022-10-07 17:15:00,OFF0141,Charles,Nguyen,7634.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00846,Donna,Jackson,82.0,female,924-985-8530,unknown,critical,pending,warning issued,4.0,22774.688522222223,yes,Incident at 3221 Cedar Lane. Officer responded at scene.,65+,35-49
INC000949,abduction,north,maplewood,CA,5783 Main St,40.614362,-80.606867,2024-11-23 19:30:00,OFF0020,Susan,Walker,2599.0,SUS00636,Richard,Wright,57.0,unknown,unknown,VIC00228,Mary,Walker,49.0,male,unknown,unknown,medium,unknown,no arrest,2.0,31931.65,unknown,Incident at 5783 Main St. Officer responded at scene.,35-49,50-64
INC002839,graffiti,east,hillcrest,FL,5563 Lincoln St,31.366741,-81.476181,2018-08-26 04:50:00,OFF0050,John,Smith,9830.0,SUS00294,Michael,Jones,51.0,female,hispanic,VIC00850,David,Williams,52.22803904170364,male,unknown,bat,medium,closed,warning issued,0.0,6546.79,unknown,Incident at 5563 Lincoln St. Officer responded at scene.,50-64,50-64
INC002859,trespass,midtown,maplewood,PA,1522 Lincoln St,43.213574,-112.532649,2019-10-15 08:23:00,OFF0020,Joseph,Walker,6621.0,SUS00207,Mary,Brown,42.0,female,hispanic,VIC00225,Patricia,Green,12.0,male,527-108-7397,knife,low,closed,dismissed,5.0,26845.31,yes,Incident at 1522 Lincoln St. Officer responded at scene.,0-12,35-49
INC004651,cyber crime,east,oakdale,OH,3806 Washington Ave,39.701184,60.9112,2020-03-20 14:28:00,OFF0059,Sarah,Martin,5314.0,SUS00385,James,Young,35.0,male,black,VIC00777,Donna,Young,55.0,female,701-395-6824,firearm,critical,open,warning issued,3.0,2167.35,no,Incident at 3806 Washington Ave. Officer responded at scene.,50-64,35-49
INC003793,armed robbery,south,lakewood,CA,3852 River Rd,35.044905,-83.999129,2019-01-04 05:16:00,OFF0064,Jessica,Walker,9763.0,SUS00630,Donna,Harris,48.560030015007506,male,black,VIC00208,Richard,Anderson,52.22803904170364,male,unknown,gun,medium,investigation,arrested,3.0,38573.92,no,Incident at 3852 River Rd. Officer responded at scene.,50-64,35-49
INC004688,trespassing,west,lakewood,PA,1550 Sunset Blvd,25.112438,-97.442801,2021-08-28 15:30:00,OFF0094,Anthony,Moore,2483.0,SUS00220,Robert,Wright,58.0,other,unknown,VIC00521,Mark,Harris,33.0,female,294-211-8872,bat,medium,open,arrested,1.0,8534.94,yes,Incident at 1550 Sunset Blvd. Officer responded at scene.,25-34,50-64
INC003745,asslt,central,riverside,NY,2767 River Rd,28.234244,-88.75169886462699,2018-01-24 15:33:00,OFF0018,James,Lee,5491.0,SUS00769,Donna,Thompson,54.0,unknown,white,VIC00116,Thomas,Miller,74.0,female,762-638-3161,firearm,low,resolved,arrested,2.0,24970.35,no,Incident at 2767 River Rd. Officer responded at scene.,65+,50-64
INC002592,fraud,midtown,riverside,PA,3360 Sunset Blvd,25.974863,-96.956091,2020-08-15 12:17:00,OFF0082,Anthony,Thompson,4313.0,SUS00733,Karen,Green,58.0,female,black,VIC00333,Barbara,Johnson,64.0,male,(806) -68-2-4246,blunt object,medium,closed,warning issued,3.0,22774.688522222223,no,Incident at 3360 Sunset Blvd. Officer responded at scene.,50-64,50-64
INC003754,theft/larceny,south,maplewood,FL,120 Oak Ave,34.995351,-74.532818,2020-05-17 13:46:00,OFF0017,EMILY,Brown,2857.0,SUS00615,Jennifer,Martin,57.0,male,asian,VIC00223,David,Hill,41.0,male,771-406-4573,unknown,critical,pending,no arrest,0.0,483.77,yes,Incident at 120 Oak Ave. Officer responded at scene.,35-49,50-64
INC003891,narcotics,east,centerville,OH,393 Elm Blvd,108.6542,-89.43987,2018-11-28 21:17:00,OFF0008,David,Moore,3817.0,SUS00378,Sarah,White,31.0,female,white,VIC00734,Carol,Wright,69.0,male,486-955-5798,gun,medium,investigation,arrested,2.0,29148.65,no,unknown,65+,25-34
INC001824,trespass,west,fairview,PA,2876 River Rd,29.118935,-89.958829,2019-07-14 02:11:00,OFF0069,John,Anderson,2450.0,SUS00248,Ashley,Johnson,20.0,male,other,VIC00621,Joseph,Brown,36.0,unknown,917-543-5246,blunt object,high,closed,unknown,0.0,25983.21,no,unknown,35-49,18-24
INC003739,larceny,east,springfield,NC,6343 Sunset Blvd,44.749794,-73.947406,2021-07-18 12:36:00,OFF0031,MICHELLE,Martin,9056.0,SUS00344,Ashley,Moore,63.0,male,hispanic,VIC00171,Daniel,Taylor,43.0,male,unknown,unknown,unknown,investigation,warning issued,4.0,41970.69,no,unknown,35-49,50-64
INC004507,arson,west,maplewood,NC,3637 Sunset Blvd,40.740994924359235,-71.382964,2020-06-19 16:28:00,OFF0129,Sarah,Torres,9283.0,SUS00485,Susan,Young,42.0,female,white,VIC00335,Charles,Martin,39.0,male,983-275-9311,rifle,unknown,open,arrested,4.0,9134.49,yes,Incident at 3637 Sunset Blvd. Officer responded at scene.,35-49,35-49
INC002064,homicide,central,lakewood,NC,4740 Washington Ave,44.042164,-88.75169886462699,2021-07-15 16:16:00,OFF0062,Donna,Moore,3585.0,SUS00784,Joseph,Jones,32.0,male,hispanic,VIC00095,James,Martin,33.0,female,769-824-7668,bat,critical,unknown,no arrest,4.0,42488.18,yes,Incident at 4740 Washington Ave. Officer responded at scene.,25-34,25-34
INC000769,domestc violence,west,lakewood,TX,2829 Main St,37.746236,-75.794667,2020-04-01 01:39:00,OFF0141,Barbara,Jones,7093.0,SUS00038,Nancy,Thomas,63.0,female,unknown,VIC00620,Matthew,White,74.0,female,367-133-2010,blunt object,low,closed,unknown,2.0,6820.75,yes,unknown,65+,50-64
INC000900,tresspassing,south,oakdale,FL,9483 Park Rd,26.435438,-88.75169886462699,2023-07-11 10:36:00,OFF0097,Patricia,Anderson,1920.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00863,Richard,Brown,60.0,unknown,(255) -32-5-8101,unknown,low,closed,arrested,0.0,13459.71,no,Incident at 9483 Park Rd. Officer responded at scene.,50-64,35-49
INC001193,trespassing,north,lakewood,OH,4072 Oak Ave,40.228054,-75.920794,2019-07-28 16:30:00,OFF0122,Jennifer,Anderson,5554.343440724363,SUS00293,Charles,Torres,38.0,male,unknown,VIC00013,James,White,83.0,male,unknown,hands,medium,open,warning issued,3.0,7425.53,no,Incident at 4072 Oak Ave. Officer responded at scene.,65+,35-49
INC004887,cybercrime,north,riverside,GA,1646 Oak Ave,34.412742,-85.854041,2024-01-29 18:13:00,OFF0028,Daniel,Flores,8763.0,SUS00238,Joseph,Moore,50.0,unknown,hispanic,VIC00699,Daniel,Nguyen,17.0,female,624-369-6990,unknown,unknown,open,warning issued,0.0,14830.28,no,Incident at 1646 Oak Ave. Officer responded at scene.,13-17,50-64
INC000015,asslt,west,riverside,GA,3034 Park Rd,29.976847,-96.821673,2024-03-01 04:58:00,OFF0135,Nancy,Moore,2647.0,SUS00199,Susan,Garcia,34.0,male,unknown,VIC00547,Mary,Johnson,80.0,female,914-229-9042,hands/feet,high,open,arrested,2.0,23469.85,no,Incident at 3034 Park Rd. Officer responded at scene.,65+,25-34
INC002728,burglary,west,oakdale,PA,6010 Cedar Lane,38.426433,-119.113425,2020-04-16 08:11:00,OFF0132,William,Scott,5151.0,SUS00293,Michael,Allen,35.0,male,other,VIC00765,Barbara,Green,52.22803904170364,male,305-811-4555,unknown,low,resolved,unknown,0.0,3381.3,yes,Incident at 6010 Cedar Lane. Officer responded at scene.,50-64,35-49
INC004684,homicide,northeast,maplewood,GA,6859 Oak Ave,34.916346,-83.935027,2020-09-09 11:34:00,OFF0078,Emily,Jackson,3050.0,SUS00546,Carol,Johnson,21.0,male,hispanic,VIC00905,Robert,Johnson,21.0,female,548-542-9323,blunt object,low,open,no arrest,4.0,21921.32,yes,Incident at 6859 Oak Ave. Officer responded at scene.,18-24,18-24
INC002900,arson,southwest,springfield,GA,5328 Elm Blvd,39.803413,-103.317577,2022-06-14 08:43:00,OFF0101,Barbara,Green,4082.0,SUS00527,Jessica,Moore,34.0,male,unknown,VIC00501,Jessica,Johnson,36.0,unknown,554-518-5824,hands/feet,low,open,no arrest,0.0,22890.42,yes,Incident at 5328 Elm Blvd. Officer responded at scene.,35-49,25-34
INC000244,trespassing,east,oakdale,TX,919 Sunset Blvd,39.661998,-118.759075,2022-06-14 08:43:00,OFF0140,William,Hill,4181.0,SUS00671,James,Taylor,68.0,unknown,white,VIC00920,Mark,Young,56.0,female,214-780-7605,unknown,high,unknown,unknown,0.0,3247.75,yes,unknown,50-64,65+
INC000317,hacking,southwest,maplewood,NC,839 Sunset Blvd,47.743973,61.9776,2023-08-17 13:15:00,OFF0142,Barbara,Scott,2898.0,SUS00241,Richard,Thompson,61.0,male,hispanic,VIC00559,James,Hall,64.0,female,536-762-5023,unarmed,low,closed,warning issued,5.0,36550.83,yes,Incident at 839 Sunset Blvd. Officer responded at scene.,50-64,50-64
INC003964,arson,south,springfield,GA,4240 Cedar Lane,163.9564,-88.75169886462699,2019-01-06 00:57:00,OFF0150,Patricia,Torres,6755.0,SUS00018,Joseph,Flores,15.0,female,unknown,VIC00946,Robert,Green,46.0,male,899-764-3953,knife,low,pending,dismissed,4.0,891.23,yes,Incident at 4240 Cedar Lane. Officer responded at scene.,35-49,13-17
INC002377,trespassing,west,maplewood,NC,5442 Lincoln St,34.234368,-86.65302,2024-08-31 09:30:00,OFF0075,Linda,Jones,5568.0,SUS00313,Charles,Anderson,52.0,female,hispanic,VIC00457,Jessica,Brown,65.0,female,unknown,knife,medium,closed,unknown,2.0,22774.688522222223,no,Incident at 5442 Lincoln St. Officer responded at scene.,65+,50-64
INC000950,assault,southwest,springfield,NY,438 Lincoln St,37.308371,85.9617,2018-09-18 12:05:00,OFF0134,Michael,Wilson,4277.0,SUS00281,Michael,Jackson,48.560030015007506,male,black,VIC00541,Carol,Martin,73.0,male,830-744-5076,gun,critical,investigation,unknown,5.0,13029.45,yes,Incident at 438 Lincoln St. Officer responded at scene.,65+,35-49
INC001130,homicide,north,centerville,AZ,7801 Maple Dr,26.778073,-119.194899,2018-05-24 15:58:00,OFF0053,Jennifer,Garcia,8060.0,SUS00028,Barbara,Scott,70.0,male,asian,VIC00765,Jennifer,Jackson,69.0,female,744-417-7917,hands,unknown,pending,no arrest,0.0,40852.02,no,unknown,65+,65+
INC000482,narcotics,south,hillcrest,NY,5281 Lincoln St,36.382612,-89.385534,2022-10-05 12:16:00,OFF0118,Richard,Thompson,1113.0,SUS00384,Mary,Scott,26.0,male,unknown,VIC00711,Sarah,Torres,21.0,female,471-350-1097,hands/feet,critical,investigation,warning issued,0.0,30173.5,yes,Incident at 5281 Lincoln St. Officer responded at scene.,18-24,25-34
INC003956,sexual assualt,midtown,lakewood,NY,5620 Elm Blvd,35.355585,-90.877583,2018-12-03 18:49:00,OFF0057,Ashley,Hill,8927.0,SUS00497,Anthony,Jackson,66.0,female,other,VIC00090,Barbara,Thompson,39.0,male,377-347-5641,firearm,low,resolved,arrested,2.0,33823.25,no,unknown,35-49,65+
INC004230,fire setting,south,maplewood,GA,5167 Cedar Lane,27.148476,-80.946078,2018-12-03 18:49:00,OFF0117,Matthew,Williams,8890.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00677,Mark,Martin,23.0,unknown,329-872-7137,firearm,unknown,investigation,warning issued,3.0,22774.688522222223,no,Incident at 5167 Cedar Lane. Officer responded at scene.,18-24,35-49
INC000567,drug offence,midtown,maplewood,TX,2799 Washington Ave,47.521741,-104.824812,2024-11-14 06:49:00,OFF0133,Anthony,Flores,2812.0,SUS00386,Matthew,Lee,26.0,male,asian,VIC00211,Patricia,Young,38.0,female,745-880-2502,knife,low,open,dismissed,4.0,3251.53,yes,Incident at 2799 Washington Ave. Officer responded at scene.,35-49,25-34
INC002306,graffiti,southeast,riverside,IL,3774 Lincoln St,31.024657,-104.666615,2022-02-11 08:30:00,OFF0128,  Chris  ,Anderson,2414.0,SUS00223,Chris,Allen,26.0,female,unknown,VIC00881,Barbara,Moore,52.22803904170364,unknown,439-356-6312,hands,medium,open,warning issued,0.0,22774.688522222223,yes,Incident at 3774 Lincoln St. Officer responded at scene.,50-64,25-34
INC000867,burglary,north,oakdale,NC,1212 Maple Dr,34.82311,-97.225538,2018-07-12 13:26:00,OFF0123,Nancy,Martin,3325.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,unknown,unknown,unknown,52.22803904170364,unknown,unknown,blunt object,critical,pending,unknown,5.0,28975.86,yes,Incident at 1212 Maple Dr. Officer responded at scene.,50-64,35-49
INC003546,theft/larceny,midtown,centerville,FL,921 Cedar Lane,42.814437,-88.038978,2023-05-18 06:27:00,OFF0015,David,Scott,1379.0,SUS00575,Mark,Jones,44.0,unknown,unknown,VIC00332,Nancy,Allen,74.0,female,351-423-8351,rifle,unknown,investigation,warning issued,0.0,25250.59,no,Incident at 921 Cedar Lane. Officer responded at scene.,65+,35-49
INC000650,theft,south,riverside,CA,3567 Washington Ave,45.744,-117.203431,2018-12-24 18:19:00,OFF0130,  donna  ,Scott,8850.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00833,Patricia,Davis,36.0,male,362-123-5079,hands,medium,open,arrested,2.0,21492.87,no,unknown,35-49,35-49
INC004001,trespass,central,hillcrest,NY,7883 Park Rd,26.183893,-116.922163,2024-02-05 17:11:00,OFF0003,William,Taylor,4897.0,SUS00280,Thomas,Hall,72.0,male,hispanic,VIC00993,Richard,Nguyen,19.0,male,828-228-1575,hands/feet,high,pending,unknown,4.0,33414.71,yes,Incident at 7883 Park Rd. Officer responded at scene.,18-24,65+
INC004659,arson,north,lakewood,FL,5915 Main St,25.750817,-98.651542,2022-12-09 13:43:00,OFF0025,jennifer,Young,5554.343440724363,SUS00514,William,Torres,41.0,male,white,VIC00812,Charles,Moore,78.0,male,378-722-4095,unknown,medium,investigation,unknown,4.0,42965.02,yes,Incident at 5915 Main St. Officer responded at scene.,65+,35-49
INC002962,abduction,west,oakdale,OH,237 Maple Dr,47.353581,-109.76991,2018-06-15 20:50:00,OFF0059,Carol,Brown,9011.0,SUS00671,Matthew,Davis,17.0,male,asian,VIC00142,Jessica,Nguyen,21.0,female,5109132226,unknown,critical,unknown,unknown,5.0,8345.88,yes,Incident at 237 Maple Dr. Officer responded at scene.,18-24,13-17
INC000403,drunk driving,midtown,riverside,NY,2584 Oak Ave,47.248778,-70.119269,2024-06-20 00:15:00,OFF0147,Joseph,Jones,2002.0,SUS00708,Michelle,Harris,63.0,male,hispanic,VIC00335,Michelle,Martin,54.0,male,493-745-7763,rifle,medium,closed,arrested,1.0,42957.18,yes,unknown,50-64,50-64
INC000529,duii,north,fairview,FL,8485 Maple Dr,40.740994924359235,-99.823607,2020-01-12 03:48:00,OFF0002,Donna,Thompson,8653.0,SUS00196,James,Thompson,73.0,unknown,hispanic,VIC00129,Anthony,Smith,68.0,male,429-668-3734,unarmed,medium,closed,warning issued,0.0,45992.69,no,unknown,65+,65+
INC003033,cybercrime,northeast,riverside,CA,3853 Maple Dr,47.486281,-84.4065,2019-09-27 21:25:00,OFF0100,Linda,Taylor,5319.0,SUS00768,Carol,White,50.0,female,asian,VIC00499,Ashley,Jackson,10.0,female,682-660-7304,knife,low,open,arrested,2.0,39258.03,yes,Incident at 3853 Maple Dr. Officer responded at scene.,0-12,50-64
INC001611,fraud,northeast,riverside,CA,1869 Cedar Lane,32.361281,-74.194224,2021-10-08 11:52:00,OFF0027,  Joseph  ,Hall,4323.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00193,Patricia,Green,18.0,male,716-975-8295,pistol,low,resolved,dismissed,0.0,31832.75,yes,Incident at 1869 Cedar Lane. Officer responded at scene.,18-24,35-49
INC003846,homicide,southwest,lakewood,NC,5327 Main St,37.225832,-106.451411,2020-07-17 10:10:00,OFF0017,John,Jackson,8968.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00874,Joseph,Williams,49.0,female,5515284227,blunt object,critical,open,no arrest,1.0,14314.61,yes,Incident at 5327 Main St. Officer responded at scene.,35-49,35-49
INC002810,manslaughter,northeast,lakewood,OH,8729 Sunset Blvd,40.740994924359235,-115.686993,2020-08-17 09:51:00,OFF0095,Chris,Martin,5581.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00253,David,Moore,90.0,female,678-388-7476,pistol,critical,investigation,no arrest,3.0,38587.52,yes,Incident at 8729 Sunset Blvd. Officer responded at scene.,65+,35-49
INC003225,robbry,southwest,lakewood,CA,3401 Washington Ave,40.068917,-97.577698,2019-10-29 17:10:00,OFF0113,James,Thomas,3272.0,SUS00332,Robert,Thompson,22.0,unknown,unknown,unknown,unknown,unknown,52.22803904170364,unknown,unknown,unarmed,low,unknown,no arrest,3.0,24950.43,yes,unknown,50-64,18-24
INC003580,vandalism,southwest,fairview,OH,3642 River Rd,37.02668,-70.788066,2019-10-29 17:10:00,OFF0074,Charles,Wright,5870.0,SUS00788,Emily,Scott,39.0,other,white,unknown,unknown,unknown,52.22803904170364,unknown,unknown,firearm,medium,investigation,no arrest,0.0,39046.99,no,Incident at 3642 River Rd. Officer responded at scene.,50-64,35-49
INC001075,vandlism,east,fairview,TX,7867 Maple Dr,47.644934,-83.933901,2022-03-04 10:09:00,OFF0146,Jessica,Davis,2313.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00704,Michelle,Wright,45.0,unknown,598-936-2315,unknown,low,unknown,unknown,2.0,4603.23,yes,Incident at 7867 Maple Dr. Officer responded at scene.,35-49,35-49
INC002803,vandlism,northwest,springfield,FL,3987 River Rd,35.603016,-74.325311,2023-02-25 05:49:00,OFF0066,Carol,Torres,9588.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00258,Linda,Anderson,90.0,male,328-295-4128,firearm,low,closed,dismissed,5.0,18814.07,no,unknown,65+,35-49
INC004842,sexual assualt,southwest,lakewood,NC,2154 Main St,39.038353,-112.629343,2022-04-18 08:01:00,OFF0042,Mark,Thomas,5554.343440724363,SUS00580,Karen,Johnson,72.0,female,white,VIC00979,Linda,Anderson,78.0,male,384-738-2609,unarmed,critical,closed,dismissed,5.0,22774.688522222223,yes,Incident at 2154 Main St. Officer responded at scene.,65+,65+
INC000028,fraud,northeast,fairview,FL,1252 Washington Ave,39.564167,68.4369,2019-08-26 10:30:00,OFF0090,Susan,Wright,3419.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00263,Nancy,Jones,19.0,other,991-743-9095,unknown,medium,resolved,arrested,3.0,34056.67,no,Incident at 1252 Washington Ave. Officer responded at scene.,18-24,35-49
INC000495,fire setting,central,centerville,CA,3975 Maple Dr,26.017491,-88.75169886462699,2021-11-30 22:06:00,OFF0131,Nancy,Jackson,9496.0,SUS00748,Michael,Taylor,37.0,unknown,hispanic,VIC00014,Joseph,Davis,22.0,male,374-960-4572,hands/feet,medium,closed,arrested,5.0,2135.4,no,Incident at 3975 Maple Dr. Officer responded at scene.,18-24,35-49
INC000788,burglary,west,fairview,IL,2062 Washington Ave,39.660225,-87.953205,2024-01-15 01:03:00,OFF0045,susan,Walker,2110.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00925,Mary,Miller,55.0,unknown,5079801235,gun,high,unknown,arrested,2.0,3152.67,yes,Incident at 2062 Washington Ave. Officer responded at scene.,50-64,35-49
INC001664,vandalism,south,oakdale,TX,912 River Rd,32.954956,-105.691779,2018-10-19 14:21:00,OFF0056,Thomas,Jones,3800.0,SUS00169,Nancy,Scott,27.0,female,white,VIC00524,Anthony,Wilson,88.0,unknown,unknown,pistol,high,open,unknown,4.0,27245.81,no,unknown,65+,25-34
INC001691,burglary,southeast,centerville,CA,4356 River Rd,31.325604,-86.792666,2023-09-14 21:53:00,OFF0119,John,Flores,6210.0,SUS00216,Michael,Harris,41.0,male,unknown,VIC00115,William,Torres,74.0,female,9345188511,hands,critical,closed,warning issued,0.0,36801.45,yes,Incident at 4356 River Rd. Officer responded at scene.,65+,35-49
INC002005,drug offence,north,riverside,AZ,7062 Main St,37.726638,-87.455628,2022-01-11 18:42:00,OFF0073,Anthony,Nguyen,7616.0,SUS00421,Daniel,Brown,48.560030015007506,male,asian,VIC00025,Donna,Anderson,59.0,other,8442802406,knife,critical,closed,arrested,3.0,13173.14,yes,Incident at 7062 Main St. Officer responded at scene.,50-64,35-49
INC003053,drunk driving,north,springfield,GA,463 Cedar Lane,29.529052,-81.066666,2021-05-12 13:40:00,OFF0086,Mark,Jones,3148.0,SUS00495,Charles,Hill,47.0,female,asian,unknown,unknown,unknown,52.22803904170364,unknown,unknown,rifle,unknown,resolved,arrested,4.0,46590.53,no,Incident at 463 Cedar Lane. Officer responded at scene.,50-64,35-49
INC000531,sexual assault,central,springfield,AZ,349 Maple Dr,40.945427,-97.131481,2020-01-26 17:47:00,OFF0108,Mary,Scott,2868.0,SUS00343,Chris,Young,22.0,female,white,VIC00039,Patricia,Johnson,18.0,female,925-948-3480,unknown,low,open,dismissed,0.0,6727.52,no,Incident at 349 Maple Dr. Officer responded at scene.,18-24,18-24
INC002685,arsen,central,lakewood,TX,2165 Park Rd,47.065243,-88.892191,2022-11-08 21:06:00,OFF0065,Patricia,Thompson,9431.0,SUS00314,Linda,Hall,57.0,female,black,VIC00032,Michelle,Young,59.0,unknown,727-345-9459,firearm,unknown,unknown,arrested,0.0,14948.62,yes,Incident at 2165 Park Rd. Officer responded at scene.,50-64,50-64
INC002394,drunk driving,north,centerville,NY,6051 Maple Dr,40.740994924359235,-102.889354,2022-11-08 21:06:00,OFF0060,Jennifer,Green,8180.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00204,Barbara,Jones,52.22803904170364,male,331-150-7701,knife,high,investigation,no arrest,0.0,49665.1,yes,Incident at 6051 Maple Dr. Officer responded at scene.,50-64,35-49
